Replicate.Name,Std.Type
190723_Std_GBTand13CGBT100nM_1,GBTMix
190723_Std_GBTand13CGBT1uM_1,GBTMix
190723_Std_GBTand13CGBT500nM_1,GBTMix
190723_Std_StdMix1InWater_1,Mix1
190723_Std_StdMix1InWater_100nMGBT,Mix1
190723_Std_GBTand13CGBT100nM_1,GBTMix
190723_Std_GBTand13CGBT1uM_1,GBTMix
190723_Std_GBTand13CGBT500nM_1,GBTMix
190723_Std_StdMix1InWater_1,Mix1
190723_Std_StdMix1InWater_100nMGBT,Mix1
