Replicate.Name,Blank.Name
161107_Smp_Cy_A,"161107_Blk_MediaBlk_DiatomA, 161107_Blk_MediaBlk_DiatomCD"
161107_Smp_Cy_B,161107_Blk_MediaBlk_DiatomA
161107_Smp_Cy_C,161107_Blk_MediaBlk_DiatomA
161107_Smp_2090_A,161107_Blk_MediaBlk_DiatomC
161107_Smp_2090_B,161107_Blk_MediaBlk_DiatomC
161107_Smp_2090_C,161107_Blk_MediaBlk_DiatomC
161107_Smp_371_A,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_371_B,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_371_C,161107_Blk_MediaBlk_DiatomYBC
161107_Smp_To_A,161107_Blk_MediaBlk_DiatomB
161107_Smp_To_B,161107_Blk_MediaBlk_DiatomB
161107_Smp_To_C,161107_Blk_MediaBlk_DiatomB
161107_Smp_Tp_A,161107_Blk_MediaBlk_DiatomZ
161107_Smp_Tp_E,161107_Blk_MediaBlk_DiatomZ
161107_Smp_Tp_F,161107_Blk_MediaBlk_DiatomZ
